#, ,R,y,a,n, ,e,t, ,a,l, ,1,9,9,6,",", ,T,a,b,l,e, ,3
#Fe/H,Teff,eTeff,A(Li),eA(Li),log(Teff),elog(Teff)
-2.6,5760.0,50.0,1.96,0.06,3.760422483423212,0.003769917377632394
-3.5,5910.0,36.0,2.02,0.07,3.7715874808812555,0.002645448620730468
-1.2,5930.0,36.0,2.29,0.06,3.7730546933642626,0.0026365263656858455
-2.2,6020.0,38.0,2.12,0.04,3.7795964912578244,0.0027413937395886325
-2.1,5850.0,36.0,2.08,0.03,3.7671558660821804,0.002672581427096934
-2.2,5780.0,61.0,2.2,0.05,3.761927838420529,0.004583384670605253
-1.8,6060.0,36.0,2.1,0.06,3.782472624166286,0.0025799672192272386
-2.1,6280.0,38.0,2.23,0.04,3.797959643737196,0.002627896546548339
-1.7,5930.0,36.0,2.16,0.03,3.7730546933642626,0.0026365263656858455
-1.8,5990.0,36.0,2.16,0.03,3.7774268223893115,0.002610117086563784
-2.4,5880.0,36.0,2.05,0.05,3.7693773260761385,0.002658945807570929
-1.2,5710.0,36.0,1.9,0.05,3.756636108245848,0.002738108817603689
-1.6,5900.0,36.0,2.03,0.03,3.7708520116421442,0.002649932431952045
-1.4,5800.0,36.0,1.87,0.03,3.7634279935629373,0.0026956209221581143
-2.0,6160.0,38.0,2.25,0.05,3.7895807121644256,0.0026790893364161635
-1.4,5870.0,36.0,2.18,0.03,3.7686381012476144,0.0026634755278563994
